                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1317,                 0.8996,                0.81085,                0.81417,                0.64119,                0.69503,                0.42806,                  1.037,                0.56493,                 0.8014,             0.00041394,             0.00041394,             0.00041394
                      2,                 1.1813,                0.66283,                0.81502,                0.78155,                0.58443,                0.65375,                0.38241,                 1.0939,                0.65608,                0.80833,             0.00082239,             0.00082239,             0.00082239
                      3,                 1.1741,                 0.7467,                0.81527,                 0.7506,                0.64071,                 0.7171,                0.45027,                 1.0172,                0.67154,                0.80227,              0.0012226,              0.0012226,              0.0012226
                      4,                 1.1549,                 0.6504,                0.80856,                0.69647,                0.64053,                0.68697,                0.41152,                 1.0988,                0.64186,                0.80747,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1858,                0.59567,                0.80737,                0.84762,                0.67124,                0.74135,                 0.4852,                0.98138,                0.54082,                0.79981,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.1029,                  0.555,                0.80471,                0.77174,                 0.6826,                0.71058,                0.43799,                 1.0497,                0.55496,                0.80738,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.2047,                0.62046,                0.81353,                0.81804,                0.63891,                0.71538,                0.45135,                 1.0436,                0.56838,                0.80588,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.1265,                0.57145,                0.80694,                0.74203,                0.74346,                0.73915,                0.46931,                 1.0022,                0.52782,                0.80412,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0467,                0.53079,                0.80034,                0.90101,                 0.6825,                0.76903,                0.50398,                0.91672,                0.46516,                 0.7971,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0308,                0.51195,                 0.7991,                0.94289,                0.66813,                0.75993,                0.49891,                0.95533,                 0.4995,                0.79996,               0.001151,               0.001151,               0.001151
                     11,                  1.036,                 0.5085,                  0.797,                0.90879,                0.70151,                0.76226,                0.50126,                0.96853,                0.47554,                0.79755,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0005,                0.49008,                 0.7952,                0.80858,                0.72723,                0.76854,                0.51813,                0.91134,                0.48203,                0.79482,              0.0011263,              0.0011263,              0.0011263
                     13,                0.96268,                 0.4695,                0.79328,                0.88611,                0.69443,                0.77201,                0.52058,                0.87663,                0.46058,                0.79178,              0.0011139,              0.0011139,              0.0011139
