                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1429,                  1.038,                0.81708,                0.69548,                0.58088,                0.56998,                0.36364,                 1.1573,                0.86227,                0.82071,             0.00041258,             0.00041258,             0.00041258
                      2,                 1.1896,                0.69784,                0.80798,                0.85449,                 0.4674,                 0.5563,                0.35389,                 1.1095,                0.88627,                0.80663,             0.00082378,             0.00082378,             0.00082378
                      3,                 1.1591,                0.65025,                0.80692,                0.86595,                0.65044,                0.73809,                0.41304,                 1.2799,                0.67022,                0.81605,              0.0012295,              0.0012295,              0.0012295
                      4,                 1.2674,                0.66448,                0.81882,                0.74516,                0.62577,                0.68546,                0.39877,                 1.1616,                0.60458,                0.82494,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.1566,                0.61692,                0.81379,                   0.82,                0.71214,                0.75133,                 0.4492,                 1.1558,                0.56608,                0.81931,               0.001217,               0.001217,               0.001217
                      6,                 1.1235,                0.58096,                 0.8084,                0.73921,                0.67728,                0.72815,                0.47871,                 0.9945,                0.53928,                0.81058,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.0873,                0.54725,                0.80085,                0.81018,                0.72339,                0.74896,                0.49455,                0.94496,                0.49995,                0.80264,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.0424,                0.51951,                0.79973,                0.87776,                0.75111,                0.79278,                0.49724,                0.96187,                0.47784,                0.80563,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.0213,                0.50863,                0.79953,                0.83199,                0.72197,                0.77695,                0.49857,                0.94655,                0.47001,                 0.8051,               0.001184,               0.001184,               0.001184
                     10,                 1.0696,                0.51861,                0.80361,                0.86298,                0.71925,                0.77682,                0.49344,                0.93545,                0.46469,                0.80575,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.0007,                0.48611,                0.79514,                0.90204,                0.71032,                0.78614,                0.52732,                0.89576,                 0.4533,                0.80219,              0.0011675,              0.0011675,              0.0011675
                     12,                0.95748,                0.47506,                0.79415,                0.85239,                0.76813,                0.78171,                0.53183,                0.86242,                 0.4428,                0.79845,              0.0011593,              0.0011593,              0.0011593
                     13,                0.92227,                0.44967,                 0.7911,                0.93028,                0.72193,                0.77728,                0.52749,                0.86548,                0.44205,                 0.8014,               0.001151,               0.001151,               0.001151
                     14,                 1.0421,                0.49749,                0.79589,                 0.9033,                 0.7215,                0.78617,                0.52164,                0.90351,                0.45727,                0.80314,              0.0011428,              0.0011428,              0.0011428
                     15,                0.94662,                0.46369,                0.79522,                0.79151,                0.73296,                0.77317,                0.50648,                0.89149,                0.46841,                0.80258,              0.0011345,              0.0011345,              0.0011345
                     16,                0.95021,                0.48823,                0.79311,                0.85578,                0.74475,                0.77307,                0.53345,                0.81989,                0.46768,                0.79869,              0.0011263,              0.0011263,              0.0011263
                     17,                0.92278,                0.45609,                 0.7928,                0.88648,                0.71029,                0.77461,                0.52973,                  0.862,                0.44345,                0.80282,               0.001118,               0.001118,               0.001118
                     18,                0.92565,                0.44897,                0.79235,                0.83402,                0.74368,                0.78618,                0.49296,                 1.0161,                0.49736,                0.81125,              0.0011098,              0.0011098,              0.0011098
                     19,                0.95028,                0.46375,                0.79447,                0.84485,                 0.7508,                0.79627,                0.51765,                0.93125,                0.45958,                0.80798,              0.0011015,              0.0011015,              0.0011015
                     20,                 0.9556,                0.45513,                0.79098,                0.88339,                0.78246,                0.82766,                0.56098,                0.82802,                0.44093,                0.79868,              0.0010933,              0.0010933,              0.0010933
                     21,                0.88413,                0.42496,                0.79184,                0.87882,                0.72794,                0.78411,                 0.4913,                0.97654,                0.45033,                0.80752,               0.001085,               0.001085,               0.001085
                     22,                0.95087,                0.45269,                0.79375,                0.91004,                0.76628,                0.79041,                0.54464,                0.84836,                0.43249,                0.79841,              0.0010768,              0.0010768,              0.0010768
                     23,                0.89874,                0.43277,                0.79224,                0.89578,                0.72216,                0.80053,                0.55787,                0.86952,                0.42094,                0.79923,              0.0010685,              0.0010685,              0.0010685
                     24,                0.90266,                0.42816,                0.78828,                0.89009,                0.70338,                0.78437,                0.52551,                0.89406,                0.42973,                0.79845,              0.0010603,              0.0010603,              0.0010603
                     25,                0.87849,                0.42652,                0.78432,                0.87636,                0.73485,                0.79236,                0.53767,                0.89903,                0.44538,                 0.8025,               0.001052,               0.001052,               0.001052
                     26,                0.88263,                0.42979,                0.78923,                0.93392,                 0.7617,                0.80128,                0.54581,                0.82774,                0.40867,                0.79653,              0.0010438,              0.0010438,              0.0010438
                     27,                0.86785,                0.41932,                0.78701,                0.89422,                0.72464,                0.77382,                0.52219,                0.87445,                 0.4299,                0.80012,              0.0010355,              0.0010355,              0.0010355
                     28,                0.84339,                0.41265,                0.78805,                0.88718,                0.73593,                0.80149,                0.54809,                0.81529,                0.40652,                0.79842,              0.0010273,              0.0010273,              0.0010273
                     29,                0.87837,                0.42128,                0.78846,                0.89896,                0.74217,                0.80076,                0.55351,                0.84372,                0.40475,                0.79868,               0.001019,               0.001019,               0.001019
                     30,                0.93394,                0.43125,                 0.7916,                0.89328,                0.73906,                0.81058,                0.55194,                0.89198,                0.42997,                0.80044,              0.0010107,              0.0010107,              0.0010107
                     31,                0.90872,                0.42267,                0.78884,                0.91286,                0.75161,                0.80208,                0.53144,                0.82756,                0.39923,                0.79981,              0.0010025,              0.0010025,              0.0010025
